epoch,epoch_seconds,train/loss_total,train/grad_norm,train/active_samples,train/loss_approval,train/loss_destination,train/loss_simulation,train/loss_address_malicious,train/loss_failure_aux,train/loss_severity,val/loss_total,val/approval/threshold,val/approval/support,val/approval/count,val/approval/precision,val/approval/recall,val/approval/f1,val/approval/accuracy,val/approval/balanced_accuracy,val/approval/specificity,val/approval/positive_rate,val/approval/tp,val/approval/fp,val/approval/tn,val/approval/fn,val/approval/average_precision,val/approval/roc_auc,val/destination/threshold,val/destination/support,val/destination/count,val/destination/precision,val/destination/recall,val/destination/f1,val/destination/accuracy,val/destination/balanced_accuracy,val/destination/specificity,val/destination/positive_rate,val/destination/tp,val/destination/fp,val/destination/tn,val/destination/fn,val/destination/average_precision,val/destination/roc_auc,val/simulation/threshold,val/simulation/support,val/simulation/count,val/simulation/precision,val/simulation/recall,val/simulation/f1,val/simulation/accuracy,val/simulation/balanced_accuracy,val/simulation/specificity,val/simulation/positive_rate,val/simulation/tp,val/simulation/fp,val/simulation/tn,val/simulation/fn,val/simulation/average_precision,val/simulation/roc_auc,val/address_malicious/threshold,val/address_malicious/support,val/address_malicious/count,val/address_malicious/precision,val/address_malicious/recall,val/address_malicious/f1,val/address_malicious/accuracy,val/address_malicious/balanced_accuracy,val/address_malicious/specificity,val/address_malicious/positive_rate,val/address_malicious/tp,val/address_malicious/fp,val/address_malicious/tn,val/address_malicious/fn,val/address_malicious/average_precision,val/address_malicious/roc_auc,val/failure_aux/threshold,val/failure_aux/support,val/failure_aux/count,val/failure_aux/precision,val/failure_aux/recall,val/failure_aux/f1,val/failure_aux/accuracy,val/failure_aux/balanced_accuracy,val/failure_aux/specificity,val/failure_aux/positive_rate,val/failure_aux/tp,val/failure_aux/fp,val/failure_aux/tn,val/failure_aux/fn,val/failure_aux/average_precision,val/failure_aux/roc_auc,val/severity/count,val/severity/accuracy,val/severity/macro_f1,val/severity/weighted_f1,val/severity/low_precision,val/severity/low_recall,val/severity/low_f1,val/severity/low_support,val/severity/medium_precision,val/severity/medium_recall,val/severity/medium_f1,val/severity/medium_support,val/severity/high_precision,val/severity/high_recall,val/severity/high_f1,val/severity/high_support,val/severity/critical_precision,val/severity/critical_recall,val/severity/critical_f1,val/severity/critical_support,optimizer/lr
1,272.6097,0.055732,0.177581,132695.0,0.021669,0.018029,0.14277,0.010136,0.003062,0.014686,5.1e-05,0.5,295,1664,1.0,1.0,1.0,1.0,1.0,1.0,0.1773,295,0,1369,0,1.0,1.0,0.5,947,2316,1.0,1.0,1.0,1.0,1.0,1.0,0.4089,947,0,1369,0,1.0,1.0,0.5,18,1387,1.0,1.0,1.0,1.0,1.0,1.0,0.013,18,0,1369,0,1.0,1.0,0.5,1254,5361,1.0,1.0,1.0,1.0,1.0,1.0,0.2339,1254,0,4107,0,1.0,1.0,0.5,9994,15355,1.0,0.9998,0.9999,0.9999,0.9999,1.0,0.6509,9992,0,5361,2,1.0,1.0,4134,1.0,1.0,1.0,1.0,1.0,1.0,4107,0.0,0.0,0.0,0,1.0,1.0,1.0,22,1.0,1.0,1.0,5,0.0003
2,270.2782,6.4e-05,0.002141,132695.0,1e-06,2e-06,1e-06,5.5e-05,1.7e-05,7e-06,3e-06,0.5,295,1664,1.0,1.0,1.0,1.0,1.0,1.0,0.1773,295,0,1369,0,1.0,1.0,0.5,947,2316,1.0,1.0,1.0,1.0,1.0,1.0,0.4089,947,0,1369,0,1.0,1.0,0.5,18,1387,1.0,1.0,1.0,1.0,1.0,1.0,0.013,18,0,1369,0,1.0,1.0,0.5,1254,5361,1.0,1.0,1.0,1.0,1.0,1.0,0.2339,1254,0,4107,0,1.0,1.0,0.5,9994,15355,1.0,1.0,1.0,1.0,1.0,1.0,0.6509,9994,0,5361,0,1.0,1.0,4134,1.0,1.0,1.0,1.0,1.0,1.0,4107,0.0,0.0,0.0,0,1.0,1.0,1.0,22,1.0,1.0,1.0,5,0.0003
3,268.2086,6e-05,0.003974,132695.0,0.0,0.0,0.0,2.9e-05,2e-06,8.8e-05,1e-06,0.5,295,1664,1.0,1.0,1.0,1.0,1.0,1.0,0.1773,295,0,1369,0,1.0,1.0,0.5,947,2316,1.0,1.0,1.0,1.0,1.0,1.0,0.4089,947,0,1369,0,1.0,1.0,0.5,18,1387,1.0,1.0,1.0,1.0,1.0,1.0,0.013,18,0,1369,0,1.0,1.0,0.5,1254,5361,1.0,1.0,1.0,1.0,1.0,1.0,0.2339,1254,0,4107,0,1.0,1.0,0.5,9994,15355,1.0,1.0,1.0,1.0,1.0,1.0,0.6509,9994,0,5361,0,1.0,1.0,4134,1.0,1.0,1.0,1.0,1.0,1.0,4107,0.0,0.0,0.0,0,1.0,1.0,1.0,22,1.0,1.0,1.0,5,0.0003
4,270.8914,0.000107,0.010508,132695.0,0.0,0.0,0.0,3e-05,3.3e-05,0.000128,1e-06,0.5,295,1664,1.0,1.0,1.0,1.0,1.0,1.0,0.1773,295,0,1369,0,1.0,1.0,0.5,947,2316,1.0,1.0,1.0,1.0,1.0,1.0,0.4089,947,0,1369,0,1.0,1.0,0.5,18,1387,1.0,1.0,1.0,1.0,1.0,1.0,0.013,18,0,1369,0,1.0,1.0,0.5,1254,5361,1.0,1.0,1.0,1.0,1.0,1.0,0.2339,1254,0,4107,0,1.0,1.0,0.5,9994,15355,1.0,1.0,1.0,1.0,1.0,1.0,0.6509,9994,0,5361,0,1.0,1.0,4134,1.0,1.0,1.0,1.0,1.0,1.0,4107,0.0,0.0,0.0,0,1.0,1.0,1.0,22,1.0,1.0,1.0,5,0.0003
5,267.5969,0.001318,0.107778,132695.0,0.0,0.0,0.0,0.001443,1.9e-05,0.00037,1e-06,0.5,295,1664,1.0,1.0,1.0,1.0,1.0,1.0,0.1773,295,0,1369,0,1.0,1.0,0.5,947,2316,1.0,1.0,1.0,1.0,1.0,1.0,0.4089,947,0,1369,0,1.0,1.0,0.5,18,1387,1.0,1.0,1.0,1.0,1.0,1.0,0.013,18,0,1369,0,1.0,1.0,0.5,1254,5361,1.0,1.0,1.0,1.0,1.0,1.0,0.2339,1254,0,4107,0,1.0,1.0,0.5,9994,15355,1.0,1.0,1.0,1.0,1.0,1.0,0.6509,9994,0,5361,0,1.0,1.0,4134,1.0,1.0,1.0,1.0,1.0,1.0,4107,0.0,0.0,0.0,0,1.0,1.0,1.0,22,1.0,1.0,1.0,5,0.0003
6,269.5255,0.028593,3.987365,132695.0,0.0,0.0,0.0,0.028285,0.001826,0.010557,1e-06,0.5,295,1664,1.0,1.0,1.0,1.0,1.0,1.0,0.1773,295,0,1369,0,1.0,1.0,0.5,947,2316,1.0,1.0,1.0,1.0,1.0,1.0,0.4089,947,0,1369,0,1.0,1.0,0.5,18,1387,1.0,1.0,1.0,1.0,1.0,1.0,0.013,18,0,1369,0,1.0,1.0,0.5,1254,5361,1.0,1.0,1.0,1.0,1.0,1.0,0.2339,1254,0,4107,0,1.0,1.0,0.5,9994,15355,1.0,1.0,1.0,1.0,1.0,1.0,0.6509,9994,0,5361,0,1.0,1.0,4134,1.0,1.0,1.0,1.0,1.0,1.0,4107,0.0,0.0,0.0,0,1.0,1.0,1.0,22,1.0,1.0,1.0,5,0.0003
7,269.277,26.299066,4601.853811,132695.0,0.079392,1.5e-05,0.004991,32.722185,0.071094,0.13765,0.001705,0.5,295,1664,1.0,1.0,1.0,1.0,1.0,1.0,0.1773,295,0,1369,0,1.0,1.0,0.5,947,2316,1.0,1.0,1.0,1.0,1.0,1.0,0.4089,947,0,1369,0,1.0,1.0,0.5,18,1387,1.0,1.0,1.0,1.0,1.0,1.0,0.013,18,0,1369,0,1.0,1.0,0.5,1254,5361,1.0,1.0,1.0,1.0,1.0,1.0,0.2339,1254,0,4107,0,1.0,1.0,0.5,9994,15355,1.0,1.0,1.0,1.0,1.0,1.0,0.6509,9994,0,5361,0,1.0,1.0,4134,1.0,1.0,1.0,1.0,1.0,1.0,4107,0.0,0.0,0.0,0,1.0,1.0,1.0,22,1.0,1.0,1.0,5,0.0003
8,276.3648,4484.012498,223628.299946,132695.0,1.600396,0.759423,0.006633,5605.887709,0.165385,0.788282,0.100805,0.5,295,1664,1.0,1.0,1.0,1.0,1.0,1.0,0.1773,295,0,1369,0,1.0,1.0,0.5,947,2316,1.0,1.0,1.0,1.0,1.0,1.0,0.4089,947,0,1369,0,1.0,1.0,0.5,18,1387,1.0,1.0,1.0,1.0,1.0,1.0,0.013,18,0,1369,0,1.0,1.0,0.5,1254,5361,1.0,1.0,1.0,1.0,1.0,1.0,0.2339,1254,0,4107,0,1.0,1.0,0.5,9994,15355,1.0,0.4398,0.6109,0.6354,0.7199,1.0,0.6509,4395,0,5361,5599,0.9325,0.9285,4134,0.9993,0.8987,0.9993,1.0,1.0,1.0,4107,0.0,0.0,0.0,0,1.0,0.8636,0.9268,22,0.625,1.0,0.7692,5,0.0003
9,279.9836,35914.137474,1064460.007682,132695.0,16.146808,1.717091,0.0,44767.715354,0.312675,0.180736,0.740375,0.5,295,1664,1.0,1.0,1.0,1.0,1.0,1.0,0.1773,295,0,1369,0,1.0,1.0,0.5,947,2316,1.0,1.0,1.0,1.0,1.0,1.0,0.4089,947,0,1369,0,1.0,1.0,0.5,18,1387,1.0,1.0,1.0,1.0,1.0,1.0,0.013,18,0,1369,0,1.0,1.0,0.5,1254,5361,0.4781,1.0,0.6469,0.7446,0.8333,0.6667,0.2339,1254,1369,2738,0,0.4781,0.8333,0.5,9994,15355,1.0,0.4398,0.6109,0.6354,0.7199,1.0,0.6509,4395,0,5361,5599,0.9325,0.9285,4134,0.9988,0.6327,0.9982,1.0,1.0,1.0,4107,0.0,0.0,0.0,0,0.8148,1.0,0.898,22,0.0,0.0,0.0,5,0.0003
10,285.4113,152252.112157,3107710.171294,132695.0,0.511079,5.015747,0.152205,190487.79228,0.058546,0.677377,0.330177,0.5,295,1664,1.0,1.0,1.0,1.0,1.0,1.0,0.1773,295,0,1369,0,1.0,1.0,0.5,947,2316,1.0,1.0,1.0,1.0,1.0,1.0,0.4089,947,0,1369,0,1.0,1.0,0.5,18,1387,1.0,1.0,1.0,1.0,1.0,1.0,0.013,18,0,1369,0,1.0,1.0,0.5,1254,5361,1.0,1.0,1.0,1.0,1.0,1.0,0.2339,1254,0,4107,0,1.0,1.0,0.5,9994,15355,1.0,0.0005,0.001,0.3495,0.5003,1.0,0.6509,5,0,5361,9989,0.8796,0.8724,4134,0.6676,0.277,0.7949,1.0,0.6667,0.8,4107,0.0,0.0,0.0,0,0.0158,1.0,0.031,22,0.0,0.0,0.0,5,0.0003
11,285.3768,458515.395415,7354937.381419,132695.0,7.056491,2.684115,0.0,572724.852043,0.189517,0.608186,0.38422,0.5,295,1664,0.1773,1.0,0.3012,0.1773,0.5,0.0,0.1773,295,1369,0,0,0.194,0.5102,0.5,947,2316,1.0,1.0,1.0,1.0,1.0,1.0,0.4089,947,0,1369,0,1.0,1.0,0.5,18,1387,1.0,1.0,1.0,1.0,1.0,1.0,0.013,18,0,1369,0,1.0,1.0,0.5,1254,5361,1.0,1.0,1.0,1.0,1.0,1.0,0.2339,1254,0,4107,0,1.0,1.0,0.5,9994,15355,1.0,0.0005,0.001,0.3495,0.5003,1.0,0.6509,5,0,5361,9989,0.7158,0.6298,4134,0.6676,0.277,0.7949,1.0,0.6667,0.8,4107,0.0,0.0,0.0,0,0.0158,1.0,0.031,22,0.0,0.0,0.0,5,0.0003
12,286.1894,1152068.882929,14598329.427774,132695.0,1.373399,4.818065,0.0,1437415.030972,0.086098,1.165181,0.499354,0.5,295,1664,0.1773,1.0,0.3012,0.1773,0.5,0.0,0.1773,295,1369,0,0,0.194,0.5102,0.5,947,2316,0.4089,1.0,0.5804,0.4089,0.5,0.0,0.4089,947,1369,0,0,1.0,1.0,0.5,18,1387,1.0,1.0,1.0,1.0,1.0,1.0,0.013,18,0,1369,0,1.0,1.0,0.5,1254,5361,1.0,1.0,1.0,1.0,1.0,1.0,0.2339,1254,0,4107,0,1.0,1.0,0.5,9994,15355,0.0,0.0,0.0,0.3491,0.5,1.0,0.6509,0,0,5361,9994,0.7156,0.6296,4134,0.6676,0.277,0.7949,1.0,0.6667,0.8,4107,0.0,0.0,0.0,0,0.0158,1.0,0.031,22,0.0,0.0,0.0,5,0.0003
13,288.842,2666212.548558,27233698.201451,132695.0,1.080873,0.222275,0.0,3334115.313432,0.147327,0.703702,0.538087,0.5,295,1664,0.1773,1.0,0.3012,0.1773,0.5,0.0,0.1773,295,1369,0,0,0.194,0.5102,0.5,947,2316,0.4089,1.0,0.5804,0.4089,0.5,0.0,0.4089,947,1369,0,0,1.0,1.0,0.5,18,1387,1.0,1.0,1.0,1.0,1.0,1.0,0.013,18,0,1369,0,1.0,1.0,0.5,1254,5361,1.0,1.0,1.0,1.0,1.0,1.0,0.2339,1254,0,4107,0,1.0,1.0,0.5,9994,15355,1.0,0.0005,0.001,0.3495,0.5003,1.0,0.6509,5,0,5361,9989,0.7158,0.6298,4134,0.6676,0.277,0.7949,1.0,0.6667,0.8,4107,0.0,0.0,0.0,0,0.0158,1.0,0.031,22,0.0,0.0,0.0,5,0.0003
14,292.6328,5163995.556222,45328063.524498,132695.0,1.048352,0.507296,0.0,6455417.991852,0.079071,3.097936,0.586885,0.5,295,1664,0.1773,1.0,0.3012,0.1773,0.5,0.0,0.1773,295,1369,0,0,0.194,0.5102,0.5,947,2316,0.4089,1.0,0.5804,0.4089,0.5,0.0,0.4089,947,1369,0,0,0.4108,0.5016,0.5,18,1387,1.0,1.0,1.0,1.0,1.0,1.0,0.013,18,0,1369,0,1.0,1.0,0.5,1254,5361,1.0,1.0,1.0,1.0,1.0,1.0,0.2339,1254,0,4107,0,1.0,1.0,0.5,9994,15355,1.0,0.0005,0.001,0.3495,0.5003,1.0,0.6509,5,0,5361,9989,0.7158,0.6298,4134,0.6676,0.277,0.7949,1.0,0.6667,0.8,4107,0.0,0.0,0.0,0,0.0158,1.0,0.031,22,0.0,0.0,0.0,5,0.0003
15,296.7584,9882384.783768,73503455.637736,132695.0,1.052286,0.500245,0.0,12366376.787376,0.092641,0.509792,0.606314,0.5,295,1664,0.1773,1.0,0.3012,0.1773,0.5,0.0,0.1773,295,1369,0,0,0.194,0.5102,0.5,947,2316,0.4089,1.0,0.5804,0.4089,0.5,0.0,0.4089,947,1369,0,0,0.4108,0.5016,0.5,18,1387,1.0,1.0,1.0,1.0,1.0,1.0,0.013,18,0,1369,0,1.0,1.0,0.5,1254,5361,1.0,1.0,1.0,1.0,1.0,1.0,0.2339,1254,0,4107,0,1.0,1.0,0.5,9994,15355,0.0,0.0,0.0,0.3491,0.5,1.0,0.6509,0,0,5361,9994,0.7156,0.6296,4134,0.6676,0.277,0.7949,1.0,0.6667,0.8,4107,0.0,0.0,0.0,0,0.0158,1.0,0.031,22,0.0,0.0,0.0,5,0.0003
16,301.471,16989783.514577,109295235.803171,132695.0,1.039903,0.500467,0.0,21242431.338239,0.07888,0.510724,0.668484,0.5,295,1664,0.1773,1.0,0.3012,0.1773,0.5,0.0,0.1773,295,1369,0,0,0.194,0.5102,0.5,947,2316,0.4089,1.0,0.5804,0.4089,0.5,0.0,0.4089,947,1369,0,0,0.4108,0.5016,0.5,18,1387,1.0,1.0,1.0,1.0,1.0,1.0,0.013,18,0,1369,0,1.0,1.0,0.5,1254,5361,1.0,1.0,1.0,1.0,1.0,1.0,0.2339,1254,0,4107,0,1.0,1.0,0.5,9994,15355,0.0,0.0,0.0,0.3491,0.5,1.0,0.6509,0,0,5361,9994,0.7156,0.6296,4134,0.3365,0.1719,0.4968,1.0,0.3333,0.5,4107,0.0,0.0,0.0,0,0.008,1.0,0.0158,22,0.0,0.0,0.0,5,0.0003
17,303.1226,27910074.279122,162108143.117309,132695.0,1.053924,0.56038,0.0,34874451.123831,0.079203,0.636606,0.634801,0.5,295,1664,0.1773,1.0,0.3012,0.1773,0.5,0.0,0.1773,295,1369,0,0,0.194,0.5102,0.5,947,2316,0.4089,1.0,0.5804,0.4089,0.5,0.0,0.4089,947,1369,0,0,0.4108,0.5016,0.5,18,1387,1.0,1.0,1.0,1.0,1.0,1.0,0.013,18,0,1369,0,1.0,1.0,0.5,1254,5361,1.0,1.0,1.0,1.0,1.0,1.0,0.2339,1254,0,4107,0,1.0,1.0,0.5,9994,15355,0.0,0.0,0.0,0.3491,0.5,1.0,0.6509,0,0,5361,9994,0.7156,0.6296,4134,0.3365,0.1719,0.4968,1.0,0.3333,0.5,4107,0.0,0.0,0.0,0,0.008,1.0,0.0158,22,0.0,0.0,0.0,5,0.0003
18,307.8848,44501458.23988,237973263.73299,132695.0,1.487538,0.501315,0.0,55534748.684673,0.078187,0.62788,0.640049,0.5,295,1664,0.1773,1.0,0.3012,0.1773,0.5,0.0,0.1773,295,1369,0,0,0.194,0.5102,0.5,947,2316,0.4089,1.0,0.5804,0.4089,0.5,0.0,0.4089,947,1369,0,0,0.4108,0.5016,0.5,18,1387,1.0,1.0,1.0,1.0,1.0,1.0,0.013,18,0,1369,0,1.0,1.0,0.5,1254,5361,1.0,1.0,1.0,1.0,1.0,1.0,0.2339,1254,0,4107,0,1.0,1.0,0.5,9994,15355,0.0,0.0,0.0,0.3491,0.5,1.0,0.6509,0,0,5361,9994,0.7156,0.6296,4134,0.3365,0.1719,0.4968,1.0,0.3333,0.5,4107,0.0,0.0,0.0,0,0.008,1.0,0.0158,22,0.0,0.0,0.0,5,0.0003
